citation_key,identifier,verification_basis,manuscript_status
ye2026agentcontracts,doi:10.48550/arXiv.2601.08815,primary publisher/arXiv record checked during novelty audit,included
zhang2026agentlibos,doi:10.48550/arXiv.2606.03895,primary publisher/arXiv record checked during novelty audit,included
peng2026provenact,doi:10.48550/arXiv.2608.02764,primary publisher/arXiv record checked during novelty audit,included
fatmi2026faramesh,doi:10.48550/arXiv.2601.17744,primary publisher/arXiv record checked during novelty audit,included
kaul2026agentbound,doi:10.48550/arXiv.2606.30970,primary publisher/arXiv record checked during novelty audit,included
zhang2026fixedceiling,doi:10.48550/arXiv.2607.23586,primary publisher/arXiv record checked during novelty audit,included
malkapuram2025lineage,doi:10.48550/arXiv.2509.18415,primary publisher/arXiv record checked during novelty audit,included
rodriguez2026agenturi,doi:10.48550/arXiv.2601.14567,primary publisher/arXiv record checked during novelty audit,included
qu2026selfsovereign,doi:10.48550/arXiv.2604.08551,primary publisher/arXiv record checked during novelty audit,included
lin2026selfevolving,doi:10.48550/arXiv.2606.23075,primary publisher/arXiv record checked during novelty audit,included
zhang2025agentmatrix,doi:10.48550/arXiv.2509.25302,primary publisher/arXiv record checked during novelty audit,included
air2026selfreplicate,doi:10.48550/arXiv.2605.06760,primary publisher/arXiv record checked during novelty audit,included
guan2026adaptiveworms,doi:10.48550/arXiv.2606.03811,primary publisher/arXiv record checked during novelty audit,included
debenedetti2024agentdojo,doi:10.52202/079017-2636,primary publisher/arXiv record checked during novelty audit,included
liu2024agentbench,doi:10.48550/arXiv.2308.03688,primary publisher/arXiv record checked during novelty audit,included
peigne2025securitytax,doi:10.1609/aaai.v39i26.34970,primary publisher/arXiv record checked during novelty audit,included
yao2023react,doi:10.48550/arXiv.2210.03629,primary publisher/arXiv record checked during novelty audit,included
schick2023toolformer,doi:10.48550/arXiv.2302.04761,primary publisher/arXiv record checked during novelty audit,included
shinn2023reflexion,doi:10.48550/arXiv.2303.11366,primary publisher/arXiv record checked during novelty audit,included
yao2023tot,doi:10.48550/arXiv.2305.10601,primary publisher/arXiv record checked during novelty audit,included
rashid2018qmix,doi:10.48550/arXiv.1803.11485,stable bibliographic metadata manually reviewed; identifier included where known,included
wooldridge1995agents,doi:10.1017/S0269888900008122,stable bibliographic metadata manually reviewed; identifier included where known,included
smith1980contractnet,doi:10.1109/TC.1980.1675516,stable bibliographic metadata manually reviewed; identifier included where known,included
erol1994htn,no DOI/arXiv known or applicable,stable bibliographic metadata manually reviewed; identifier included where known,included
nau2003shop2,doi:10.1613/jair.1141,stable bibliographic metadata manually reviewed; identifier included where known,included
hewitt1973actors,no DOI/arXiv known or applicable,stable bibliographic metadata manually reviewed; identifier included where known,included
agha1986actors,no DOI/arXiv known or applicable,stable bibliographic metadata manually reviewed; identifier included where known,included
yadav2015hapn,no DOI/arXiv known or applicable,primary publisher/arXiv record checked during novelty audit,included
artikis2009dynamic,no DOI/arXiv known or applicable,primary publisher/arXiv record checked during novelty audit,included
oneil1986escrow,doi:10.1145/7239.7265,primary publisher/arXiv record checked during novelty audit,included
balegas2015bounded,doi:10.1109/SRDS.2015.32,primary publisher/arXiv record checked during novelty audit,included
almeida2019counters,doi:10.1007/s00446-017-0322-2,primary publisher/arXiv record checked during novelty audit,included
enes2017identity,doi:10.1145/3064889.3064894,primary publisher/arXiv record checked during novelty audit,included
shoker2015exactlyonce,doi:10.1109/SRDSW.2015.10,primary publisher/arXiv record checked during novelty audit,included
walfish2006quota,no DOI/arXiv known or applicable,stable bibliographic metadata manually reviewed; identifier included where known,included
pollack2007quota,doi:10.1109/MSST.2007.4367965,primary publisher/arXiv record checked during novelty audit,included
behl2012dqmp,doi:10.1007/978-3-642-33536-5_21,primary publisher/arXiv record checked during novelty audit,included
lakew2014treequota,doi:10.1109/SERVICES.2014.57,primary publisher/arXiv record checked during novelty audit,included
agudo2009quota,doi:10.1007/978-3-642-01465-9_20,primary publisher/arXiv record checked during novelty audit,included
dennis1966capabilities,doi:10.1145/365230.365252,primary publisher/arXiv record checked during novelty audit,included
saltzer1975protection,doi:10.1109/PROC.1975.9939,stable bibliographic metadata manually reviewed; identifier included where known,included
birgisson2014macaroons,doi:10.14722/ndss.2014.23212,primary publisher/arXiv record checked during novelty audit,included
andersen2019wave,no DOI/arXiv known or applicable,primary publisher/arXiv record checked during novelty audit,included
chuat2020delegation,doi:10.1109/EuroSP48549.2020.00046,primary publisher/arXiv record checked during novelty audit,included
hayton1998oasis,doi:10.1109/SECPRI.1998.674819,primary publisher/arXiv record checked during novelty audit,included
murray2013sel4,doi:10.1109/SP.2013.35,primary publisher/arXiv record checked during novelty audit,included
necula1997pcc,doi:10.1145/263699.263712,stable bibliographic metadata manually reviewed; identifier included where known,included
schneider2000enforceable,doi:10.1145/353323.353382,primary publisher/arXiv record checked during novelty audit,included
harel1987statecharts,doi:10.1016/0167-6423(87)90035-9,stable bibliographic metadata manually reviewed; identifier included where known,included
harel1996statemate,doi:10.1145/235321.235322,stable bibliographic metadata manually reviewed; identifier included where known,included
murata1989petrinets,doi:10.1109/5.24143,stable bibliographic metadata manually reviewed; identifier included where known,included
