scenario,placement,workload,step,phase,site,lets_authorized,lets_reason,lets_latency_ns,central_authorized,central_reason,central_latency_ns,actions_remaining_at_site,stranded_on_blocked_peer,site_authorized_cumulative,site_denied_cumulative,central_site_authorized_cumulative,central_site_denied_cumulative
equal-placement-equal-workload,equal,equal,0,normal,s1,True,authorized_and_claimed,21424941,True,authorized,1514165,9,0,1,0,1,0
equal-placement-equal-workload,equal,equal,1,normal,s1,True,authorized_and_claimed,21653123,True,authorized,885419,8,0,2,0,2,0
equal-placement-equal-workload,equal,equal,2,normal,s2,True,authorized_and_claimed,19957767,True,authorized,937825,9,0,1,0,1,0
equal-placement-equal-workload,equal,equal,3,normal,s2,True,authorized_and_claimed,19355647,True,authorized,1254372,8,0,2,0,2,0
equal-placement-equal-workload,equal,equal,4,normal,s3,True,authorized_and_claimed,186187539,True,authorized,1185093,9,0,1,0,1,0
equal-placement-equal-workload,equal,equal,5,normal,s3,True,authorized_and_claimed,40012447,True,authorized,1105777,8,0,2,0,2,0
equal-placement-equal-workload,equal,equal,6,partition,s1,True,authorized_and_claimed,20745250,False,application_path_partition,,7,8,3,0,2,1
equal-placement-equal-workload,equal,equal,7,partition,s1,True,authorized_and_claimed,21265134,False,application_path_partition,,6,8,4,0,2,2
equal-placement-equal-workload,equal,equal,8,partition,s1,True,authorized_and_claimed,21165992,False,application_path_partition,,5,8,5,0,2,3
equal-placement-equal-workload,equal,equal,9,partition,s2,True,authorized_and_claimed,21433102,True,authorized,1145818,7,5,3,0,3,0
equal-placement-equal-workload,equal,equal,10,partition,s2,True,authorized_and_claimed,16593531,True,authorized,1111133,6,5,4,0,4,0
equal-placement-equal-workload,equal,equal,11,partition,s2,True,authorized_and_claimed,15647468,True,authorized,1240594,5,5,5,0,5,0
equal-placement-equal-workload,equal,equal,12,partition,s3,True,authorized_and_claimed,53275986,True,authorized,1258148,7,0,3,0,3,0
equal-placement-equal-workload,equal,equal,13,partition,s3,True,authorized_and_claimed,35053975,True,authorized,1416550,6,0,4,0,4,0
equal-placement-equal-workload,equal,equal,14,partition,s3,True,authorized_and_claimed,43219887,True,authorized,1264833,5,0,5,0,5,0
equal-placement-equal-workload,equal,equal,15,recovery,s1,True,authorized_and_claimed,21324421,True,authorized,1428349,5,0,6,0,3,3
equal-placement-equal-workload,equal,equal,16,recovery,s2,True,authorized_and_claimed,24463944,True,authorized,1042864,3,0,6,0,6,0
equal-placement-equal-workload,equal,equal,17,recovery,s3,True,authorized_and_claimed,44704584,True,authorized,1428108,4,0,6,0,6,0
equal-placement-skew70-workload,equal,70-percent-s1,0,normal,s1,True,authorized_and_claimed,21563937,True,authorized,1549559,9,0,1,0,1,0
equal-placement-skew70-workload,equal,70-percent-s1,1,normal,s1,True,authorized_and_claimed,21441494,True,authorized,1184331,8,0,2,0,2,0
equal-placement-skew70-workload,equal,70-percent-s1,2,normal,s1,True,authorized_and_claimed,21701450,True,authorized,1094843,7,0,3,0,3,0
equal-placement-skew70-workload,equal,70-percent-s1,3,normal,s1,True,authorized_and_claimed,21869086,True,authorized,1126648,6,0,4,0,4,0
equal-placement-skew70-workload,equal,70-percent-s1,4,normal,s2,True,authorized_and_claimed,22373577,True,authorized,1267193,9,0,1,0,1,0
equal-placement-skew70-workload,equal,70-percent-s1,5,normal,s3,True,authorized_and_claimed,55493559,True,authorized,1378867,9,0,1,0,1,0
equal-placement-skew70-workload,equal,70-percent-s1,6,partition,s1,True,authorized_and_claimed,21791861,False,application_path_partition,,5,9,5,0,4,1
equal-placement-skew70-workload,equal,70-percent-s1,7,partition,s1,True,authorized_and_claimed,21867674,False,application_path_partition,,4,9,6,0,4,2
equal-placement-skew70-workload,equal,70-percent-s1,8,partition,s1,True,authorized_and_claimed,20904736,False,application_path_partition,,3,9,7,0,4,3
equal-placement-skew70-workload,equal,70-percent-s1,9,partition,s1,True,authorized_and_claimed,23779336,False,application_path_partition,,2,9,8,0,4,4
equal-placement-skew70-workload,equal,70-percent-s1,10,partition,s1,True,authorized_and_claimed,25681370,False,application_path_partition,,1,9,9,0,4,5
equal-placement-skew70-workload,equal,70-percent-s1,11,partition,s1,True,authorized_and_claimed,21151680,False,application_path_partition,,0,9,10,0,4,6
equal-placement-skew70-workload,equal,70-percent-s1,12,partition,s1,False,policy_denied,8197834,False,application_path_partition,,0,9,10,1,4,7
equal-placement-skew70-workload,equal,70-percent-s1,13,partition,s2,True,authorized_and_claimed,18668620,True,authorized,1289969,8,0,2,0,2,0
equal-placement-skew70-workload,equal,70-percent-s1,14,partition,s3,True,authorized_and_claimed,35321694,True,authorized,824943,8,0,2,0,2,0
