index,operation,category,outcome,delta_free,delta_residual,delta_consumed,delta_in_flight,identity_holds,spendable_bound_holds
0,root_issue_source,root_issue,succeeded,"[-30,-40]","[30,40]","[0,0]","[0,0]",True,True
1,spawn_reader,spawn,succeeded,"[0,0]","[0,0]","[0,0]","[0,0]",True,True
2,spawn_operator,spawn,succeeded,"[0,0]","[0,0]","[0,0]","[0,0]",True,True
3,spawn_recovery,spawn,succeeded,"[0,0]","[0,0]","[0,0]","[0,0]",True,True
4,reader_inspect_1,authorize_and_claim,succeeded,"[0,0]","[-1,0]","[1,0]","[0,0]",True,True
5,reader_inspect_2,authorize_and_claim,succeeded,"[0,0]","[-1,0]","[1,0]","[0,0]",True,True
6,reader_inspect_3,authorize_and_claim,succeeded,"[0,0]","[-1,0]","[1,0]","[0,0]",True,True
7,operator_restart_1,authorize_and_claim,succeeded,"[0,0]","[0,-3]","[0,3]","[0,0]",True,True
8,operator_restart_2,authorize_and_claim,succeeded,"[0,0]","[0,-3]","[0,3]","[0,0]",True,True
9,operator_rotate_denied_zero_read,authorization_denial,denied,"[0,0]","[0,0]","[0,0]","[0,0]",True,True
10,recovery_rotate_1,authorize_and_claim,succeeded,"[0,0]","[-1,-5]","[1,5]","[0,0]",True,True
11,recovery_rotate_2,authorize_and_claim,succeeded,"[0,0]","[-1,-5]","[1,5]","[0,0]",True,True
12,recovery_inspect,authorize_and_claim,succeeded,"[0,0]","[-1,0]","[1,0]","[0,0]",True,True
13,recovery_restart,authorize_and_claim,succeeded,"[0,0]","[0,-3]","[0,3]","[0,0]",True,True
14,transfer_prepare,transfer_prepare,succeeded,"[-4,-10]","[0,0]","[0,0]","[4,10]",True,True
15,transfer_accept,transfer_accept,succeeded,"[4,10]","[0,0]","[0,0]","[-4,-10]",True,True
16,transfer_duplicate_accept,transfer_duplicate_accept,succeeded,"[0,0]","[0,0]","[0,0]","[0,0]",True,True
17,transfer_finalize,transfer_finalize,succeeded,"[0,0]","[0,0]","[0,0]","[0,0]",True,True
18,target_root_from_transferred_units,root_issue,succeeded,"[-4,-10]","[4,10]","[0,0]","[0,0]",True,True
19,target_rotate_transfer_backed,authorize_and_claim,succeeded,"[0,0]","[-1,-5]","[1,5]","[0,0]",True,True
20,target_inspect_transfer_backed,authorize_and_claim,succeeded,"[0,0]","[-1,0]","[1,0]","[0,0]",True,True
21,duplicate_executor_claim_rejected,executor_duplicate_claim,denied,"[0,0]","[0,0]","[0,0]","[0,0]",True,True
22,target_restart_debited_but_unclaimed,warden_debit_without_executor_claim,succeeded,"[0,0]","[0,-3]","[0,3]","[0,0]",True,True
23,expired_unclaimed_receipt_cannot_settle,expired_executor_claim,denied,"[0,0]","[0,0]","[0,0]","[0,0]",True,True
