shape,depth,branching_factor,nodes,leaves_authorized,status,spawn_p50_ns,spawn_p95_ns,authorize_p50_ns,authorize_p95_ns,authorize_p99_ns,authorize_throughput_ops_per_second,state_bytes_after_checkpoint,reopen_latency_ns
spine_fanout,1,1,2,1,passed,6580300,6580300,6936400,6936400,6936400,131.2594342718383,294912,34446300
complete_tree,1,1,2,1,passed,6821600,6821600,7051700,7051700,7051700,135.22467579883977,294912,7593800
spine_fanout,1,2,3,2,passed,6708650,6798300,10481400,13920600,13920600,139.18562490865943,323584,7657800
complete_tree,1,2,3,2,passed,6719300,6809700,10422750,13702900,13702900,141.19507511577996,323584,8954000
spine_fanout,1,4,5,4,passed,7047250,7260500,17519650,27676500,27676500,140.13011080788513,360448,7555100
complete_tree,1,4,5,4,passed,7005950,7713900,18439150,28962900,28962900,132.93541332943389,360448,7943300
spine_fanout,1,8,9,8,passed,7032000,7251800,32600250,58870600,58870600,131.55471360538849,430080,9290600
complete_tree,1,8,9,8,passed,7661900,8061900,34466150,63168600,63168600,122.78205724406463,430080,9563600
spine_fanout,2,1,3,1,passed,7368450,7457100,7491700,7491700,7491700,129.02726346076926,307200,9278100
complete_tree,2,1,3,1,passed,7598550,7855700,7207900,7207900,7207900,134.16875746313713,307200,8876300
spine_fanout,2,2,5,3,passed,7563400,8748000,14952300,22136000,22136000,131.17449268264954,339968,8550700
complete_tree,2,2,7,4,passed,7191350,7538700,18590100,30175900,30175900,127.76695307758648,380928,9547200
spine_fanout,2,4,9,7,passed,7191100,8310500,29645800,51322300,51322300,132.18221507179382,417792,9348800
complete_tree,2,4,21,16,passed,7513950,8560900,66385100,120151300,120151300,128.95561267214566,622592,8326500
spine_fanout,2,8,17,15,passed,6973250,7892300,58941900,115103800,115103800,126.36889101188626,573440,8164200
complete_tree,2,8,73,64,passed,7335350,8220100,128744950,134443600,135783000,121.74317971880369,1646592,8273000
spine_fanout,4,1,5,1,passed,6937100,7703700,7062100,7062100,7062100,135.49217532687487,323584,8165700
complete_tree,4,1,5,1,passed,6951500,7140400,7541000,7541000,7541000,128.0458916475665,323584,7802900
spine_fanout,4,2,9,5,passed,6897250,7604900,20577700,34296400,34296400,140.5015342767543,401408,7600500
complete_tree,4,2,31,16,passed,7101550,7939900,61953900,117178400,117178400,132.63248119727342,700416,7950000
spine_fanout,4,4,17,13,passed,6898500,7270300,50431400,92929800,92929800,135.2954644797369,552960,8028100
complete_tree,4,4,341,256,passed,7355300,8320800,139244900,151248200,153169400,115.6363520398772,6172672,10681300
spine_fanout,4,8,33,29,passed,6804250,7408000,105034800,115525300,115794700,138.81343235358173,872448,7889000
complete_tree,4,8,4681,4096,passed,7407400,8486400,339731000,503895000,514998700,48.028722639513575,87859200,67583300
spine_fanout,8,1,9,1,passed,6789750,7018100,6819000,6819000,6819000,141.5748789534785,360448,7763000
complete_tree,8,1,9,1,passed,6647900,6780000,6636600,6636600,6636600,144.4606561403002,360448,7858200
spine_fanout,8,2,17,9,passed,6599850,6965000,34392700,61847800,61847800,140.8726276658188,512000,7869500
complete_tree,8,2,511,256,passed,7123950,8054100,138324600,146646300,149897100,117.91469700759214,7680000,11402500
spine_fanout,8,4,33,25,passed,6814000,7191600,91050000,114943800,115101400,138.6563314085986,839680,7879300
complete_tree,8,4,87381,65536,skipped_node_cap,,,,,,,,
spine_fanout,8,8,65,57,passed,6923750,7257300,118286200,121393400,121615900,135.26205956181738,1507328,8185000
complete_tree,8,8,19173961,16777216,skipped_node_cap,,,,,,,,
