storage_id,mode,delay_ms,workers,trial_index,worker_id,operation_index,lease_id,warden_ns,claim_ns,application_ns,unattributed_ns,end_to_end_ns
storage-0,off,0.0,1,0,0,0,lease_1702abdde3e54dfaaed56cc99855c426,0,0,200,800,1000
storage-0,off,0.0,1,0,0,1,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,500,600
storage-0,off,0.0,1,0,0,2,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,300,400
storage-0,off,0.0,1,0,0,3,lease_1702abdde3e54dfaaed56cc99855c426,0,0,0,200,200
storage-0,off,0.0,1,0,0,4,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,100,200
storage-0,off,0.0,1,0,0,5,lease_1702abdde3e54dfaaed56cc99855c426,0,0,0,200,200
storage-0,off,0.0,1,0,0,6,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,0,100
storage-0,off,0.0,1,0,0,7,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,0,100
storage-0,off,0.0,1,0,0,8,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,200,300
storage-0,off,0.0,1,0,0,9,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,300,400
storage-0,off,0.0,1,0,0,10,lease_1702abdde3e54dfaaed56cc99855c426,0,0,0,200,200
storage-0,off,0.0,1,0,0,11,lease_1702abdde3e54dfaaed56cc99855c426,0,0,0,200,200
storage-0,off,0.0,1,0,0,12,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,0,100
storage-0,off,0.0,1,0,0,13,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,0,100
storage-0,off,0.0,1,0,0,14,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,0,100
storage-0,off,0.0,1,0,0,15,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,0,100
storage-0,off,0.0,1,0,0,16,lease_1702abdde3e54dfaaed56cc99855c426,0,0,0,200,200
storage-0,off,0.0,1,0,0,17,lease_1702abdde3e54dfaaed56cc99855c426,0,0,0,200,200
storage-0,off,0.0,1,0,0,18,lease_1702abdde3e54dfaaed56cc99855c426,0,0,0,200,200
storage-0,off,0.0,1,0,0,19,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,0,100
storage-0,off,0.0,1,0,0,20,lease_1702abdde3e54dfaaed56cc99855c426,0,0,0,200,200
storage-0,off,0.0,1,0,0,21,lease_1702abdde3e54dfaaed56cc99855c426,0,0,0,200,200
storage-0,off,0.0,1,0,0,22,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,0,100
storage-0,off,0.0,1,0,0,23,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,0,100
storage-0,off,0.0,1,0,0,24,lease_1702abdde3e54dfaaed56cc99855c426,0,0,0,100,100
storage-0,off,0.0,1,0,0,25,lease_1702abdde3e54dfaaed56cc99855c426,0,0,0,200,200
storage-0,off,0.0,1,0,0,26,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,0,100
storage-0,off,0.0,1,0,0,27,lease_1702abdde3e54dfaaed56cc99855c426,0,0,0,200,200
storage-0,off,0.0,1,0,0,28,lease_1702abdde3e54dfaaed56cc99855c426,0,0,0,200,200
storage-0,off,0.0,1,0,0,29,lease_1702abdde3e54dfaaed56cc99855c426,0,0,0,100,100
storage-0,off,0.0,1,0,0,30,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,0,100
storage-0,off,0.0,1,0,0,31,lease_1702abdde3e54dfaaed56cc99855c426,0,0,0,100,100
storage-0,off,0.0,1,0,0,32,lease_1702abdde3e54dfaaed56cc99855c426,0,0,0,100,100
storage-0,off,0.0,1,0,0,33,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,0,100
storage-0,off,0.0,1,0,0,34,lease_1702abdde3e54dfaaed56cc99855c426,0,0,0,200,200
storage-0,off,0.0,1,0,0,35,lease_1702abdde3e54dfaaed56cc99855c426,0,0,0,200,200
storage-0,off,0.0,1,0,0,36,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,0,100
storage-0,off,0.0,1,0,0,37,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,0,100
storage-0,off,0.0,1,0,0,38,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,0,100
storage-0,off,0.0,1,0,0,39,lease_1702abdde3e54dfaaed56cc99855c426,0,0,0,200,200
storage-0,off,0.0,1,0,0,40,lease_1702abdde3e54dfaaed56cc99855c426,0,0,0,200,200
storage-0,off,0.0,1,0,0,41,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,0,100
storage-0,off,0.0,1,0,0,42,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,0,100
storage-0,off,0.0,1,0,0,43,lease_1702abdde3e54dfaaed56cc99855c426,0,0,0,100,100
storage-0,off,0.0,1,0,0,44,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,0,100
storage-0,off,0.0,1,0,0,45,lease_1702abdde3e54dfaaed56cc99855c426,0,0,100,0,100
